id,text
1,Take medication exactly as prescribed by the doctor.
2,ডাক্তারের পরামর্শ অনুযায়ী সঠিক নিয়মে ঔষধ সেবন করুন।
3,"Complete the full course of antibiotics, even if you feel better."
4,ভালো বোধ করলেও অ্যান্টিবায়োটিকের সম্পূর্ণ কোর্স শেষ করুন।
5,Do not share your medication with others.
6,আপনার ঔষধ অন্যের সাথে শেয়ার করবেন না।
7,Report any side effects or allergic reactions immediately.
8,যেকোনো পার্শ্বপ্রতিক্রিয়া বা অ্যালার্জি হলে অবিলম্বে ডাক্তারকে জানান।
9,Attend all follow-up appointments as scheduled.
10,নির্ধারিত সময়ে সব ফলো-আপ অ্যাপয়েন্টমেন্টে উপস্থিত থাকুন।
11,Get at least 7-8 hours of quality sleep per night.
12,প্রতি রাতে অন্তত ৭-৮ ঘণ্টা ভালোভাবে ঘুমান।
13,"Maintain a consistent sleep schedule, even on weekends."
14,সপ্তাহের ছুটির দিনেও একটি নির্দিষ্ট ঘুমের সময়সূচী বজায় রাখুন।
15,Create a relaxing bedtime routine to help you wind down.
16,ঘুমানোর আগে মনকে শান্ত করার জন্য একটি আরামদায়ক রুটিন তৈরি করুন।
17,Avoid caffeine and heavy meals close to bedtime.
18,ঘুমানোর কিছুক্ষণ আগে ক্যাফেইন এবং ভারী খাবার এড়িয়ে চলুন।
19,"Ensure your bedroom is dark, quiet, and cool."
20,"আপনার শোবার ঘরটি অন্ধকার, শান্ত এবং শীতল রাখুন।"
21,Drink at least 8-10 glasses of water daily.
22,প্রতিদিন অন্তত ৮-১০ গ্লাস জল পান করুন।
23,"Eat a balanced diet rich in fruits, vegetables, and whole grains."
24,"ফল, শাকসবজি এবং শস্য সমৃদ্ধ একটি সুষম খাদ্য গ্রহণ করুন।"
25,"Reduce your intake of salt, sugar, and processed foods."
26,"আপনার লবণ, চিনি এবং প্রক্রিয়াজাত খাবারের গ্রহণ কমান।"
27,Limit consumption of red meat and fatty foods.
28,লাল মাংস এবং চর্বিযুক্ত খাবার খাওয়া সীমিত করুন।
29,Incorporate lean proteins like fish and chicken into your diet.
30,আপনার খাদ্যে মাছ এবং মুরগির মতো চর্বিহীন প্রোটিন অন্তর্ভুক্ত করুন।
31,"Avoid skipping meals, especially breakfast."
32,"খাবার বাদ দেওয়া থেকে বিরত থাকুন, বিশেষ করে সকালের নাস্তা।"
33,Read food labels to make informed choices.
34,সঠিক খাবার বেছে নেওয়ার জন্য খাবারের লেবেল পড়ুন।
35,Practice portion control to maintain a healthy weight.
36,স্বাস্থ্যকর ওজন বজায় রাখতে খাবারের পরিমাণ নিয়ন্ত্রণ করুন।
37,Increase your fiber intake to improve digestion.
38,হজমশক্তি উন্নত করতে আপনার ফাইবার গ্রহণ বাড়ান।
39,Avoid foods you are allergic or intolerant to.
40,যেসব খাবারে আপনার অ্যালার্জি বা অসহিষ্ণুতা আছে তা এড়িয়ে চলুন।
41,Engage in at least 30 minutes of moderate-intensity exercise most days of the week.
42,সপ্তাহের বেশিরভাগ দিন অন্তত ৩০ মিনিট মাঝারি তীব্রতার ব্যায়াম করুন।
43,Incorporate strength training exercises 2-3 times per week.
44,সপ্তাহে ২-৩ বার শক্তি প্রশিক্ষণের ব্যায়াম অন্তর্ভুক্ত করুন।
45,Choose an activity you enjoy to stay motivated.
46,অনুপ্রাণিত থাকার জন্য আপনার পছন্দের একটি কার্যকলাপ বেছে নিন।
47,Always warm up before exercising and cool down afterward.
48,ব্যায়ামের আগে সর্বদা ওয়ার্ম-আপ করুন এবং পরে কুল-ডাউন করুন।
49,Listen to your body and avoid overexertion.
50,আপনার শরীরের কথা শুনুন এবং অতিরিক্ত পরিশ্রম এড়িয়ে চলুন।
51,Maintain a healthy body weight.
52,একটি স্বাস্থ্যকর ওজন বজায় রাখুন।
53,"If you smoke, quit immediately."
54,"আপনি যদি ধূমপান করেন, অবিলম্বে ছেড়ে দিন।"
55,Avoid exposure to secondhand smoke.
56,পরোক্ষ ধূমপানের সংস্পর্শ এড়িয়ে চলুন।
57,Limit alcohol consumption to moderate levels.
58,অ্যালকোহল গ্রহণ পরিমিত পর্যায়ে সীমাবদ্ধ রাখুন।
59,Avoid using illicit drugs.
60,অবৈধ মাদক ব্যবহার করা থেকে বিরত থাকুন।
61,"Practice stress-management techniques like meditation, yoga, or deep breathing."
62,"ধ্যান, যোগব্যায়াম বা গভীর শ্বাসের মতো মানসিক চাপ কমানোর কৌশল অনুশীলন করুন।"
63,Make time for hobbies and activities you enjoy.
64,আপনার পছন্দের শখ এবং কার্যকলাপের জন্য সময় বের করুন।
65,Wash your hands frequently with soap and water.
66,সাবান ও জল দিয়ে ঘন ঘন হাত ধৌত করুন।
67,"Avoid touching your face, especially your eyes, nose, and mouth."
68,"আপনার মুখ স্পর্শ করা থেকে বিরত থাকুন, বিশেষ করে চোখ, নাক এবং মুখ।"
69,Cover your mouth and nose when coughing or sneezing.
70,কাশি বা হাঁচি দেওয়ার সময় আপনার মুখ এবং নাক ঢাকুন।
71,Avoid close contact with people who are sick.
