id,text
1,Follow up in 2 weeks to review progress.
2,২ সপ্তাহ পর অগ্রগতি পর্যালোচনা করার জন্য আবার আসুন।
3,Return in 1 month for a routine check-up.
4,১ মাস পর রুটিন চেক-আপের জন্য ফিরে আসুন।
5,Come back in 3 days to check the reports.
6,৩ দিন পর রিপোর্ট চেক করার জন্য আবার আসুন।
7,Schedule a follow-up appointment if symptoms do not improve.
8,যদি উপসর্গের উন্নতি না হয় তবে একটি ফলো-আপ অ্যাপয়েন্টমেন্ট নির্ধারণ করুন।
9,Return immediately if you experience severe pain or high fever.
10,তীব্র ব্যথা বা উচ্চ জ্বর অনুভব করলে অবিলম্বে ফিরে আসুন।
11,Follow up after completing the course of medication.
12,ঔষধের কোর্স শেষ করার পর ফলো-আপ করুন।
13,We will call you with the lab results in 3-5 business days.
14,আমরা ৩-৫ কার্যদিবসের মধ্যে ল্যাবের ফলাফল সহ আপনাকে কল করব।
15,Return in 6 months for your annual physical exam.
16,আপনার বার্ষিক শারীরিক পরীক্ষার জন্য ৬ মাস পর ফিরে আসুন।
17,Follow up with the specialist as referred.
18,বিশেষজ্ঞের কাছে রেফার করা অনুযায়ী ফলো-আপ করুন।
19,Come back sooner if your condition worsens.
20,আপনার অবস্থার অবনতি হলে শীঘ্রই ফিরে আসুন।
21,Let's re-evaluate your blood pressure in 1 week.
22,আসুন ১ সপ্তাহ পর আপনার রক্তচাপ পুনরায় মূল্যায়ন করি।
23,Schedule an appointment to discuss your imaging results.
24,আপনার ইমেজিং ফলাফল নিয়ে আলোচনা করার জন্য একটি অ্যাপয়েন্টমেন্ট নির্ধারণ করুন।
25,Follow up in 3 months to monitor your cholesterol levels.
26,আপনার কোলেস্টেরলের মাত্রা নিরীক্ষণ করার জন্য ৩ মাস পর ফলো-আপ করুন।
27,Return for a wound check in 5 days.
28,৫ দিন পর ক্ষত পরীক্ষার জন্য ফিরে আসুন।
29,No follow-up needed unless new issues arise.
30,নতুন কোনো সমস্যা দেখা না দিলে ফলো-আপের প্রয়োজন নেই।
31,Follow up as needed (PRN).
32,প্রয়োজন অনুযায়ী ফলো-আপ করুন (PRN)।
33,Let's check your blood sugar levels again in 2 weeks.
34,আসুন ২ সপ্তাহ পর আপনার রক্তে শর্করার মাত্রা আবার পরীক্ষা করি।
35,Return for suture removal in 7-10 days.
36,৭-১০ দিন পর সেলাই অপসারণের জন্য ফিরে আসুন।
37,Follow up to adjust your medication dosage.
38,আপনার ঔষধের ডোজ সামঞ্জস্য করার জন্য ফলো-আপ করুন।
39,Call the clinic if you have any questions or concerns.
40,আপনার কোনো প্রশ্ন বা উদ্বেগ থাকলে ক্লিনিকে কল করুন।
41,Return in 1 week to see if the infection has cleared.
42,সংক্রমণটি পরিষ্কার হয়েছে কিনা তা দেখতে ১ সপ্তাহ পর ফিরে আসুন।
43,Schedule your next vaccination in 6 months.
44,৬ মাস পর আপনার পরবর্তী টিকা নির্ধারণ করুন।
45,Follow up with a physical therapist for your injury.
46,আপনার আঘাতের জন্য একজন ফিজিওথেরাপিস্টের সাথে ফলো-আপ করুন।
47,Come back for a dressing change in 2 days.
48,২ দিন পর ড্রেসিং পরিবর্তনের জন্য আবার আসুন।
49,We need to review your progress after one cycle of treatment.
50,এক চক্র চিকিৎসার পর আমাদের আপনার অগ্রগতি পর্যালোচনা করতে হবে।
51,Follow up in 4 weeks for a mental health check-in.
52,৪ সপ্তাহ পর মানসিক স্বাস্থ্য পর্যালোচনার জন্য ফলো-আপ করুন।
53,Return to discuss starting a new medication.
54,একটি নতুন ঔষধ শুরু করার বিষয়ে আলোচনা করতে ফিরে আসুন।
55,Let's do a follow-up blood test in 3 months.
56,আসুন ৩ মাস পর একটি ফলো-আপ রক্ত পরীক্ষা করি।
57,Come back if the rash spreads or worsens.
58,ফুসকুড়ি ছড়িয়ে পড়লে বা আরও খারাপ হলে ফিরে আসুন।
59,Follow up to ensure the side effects have resolved.
60,পার্শ্বপ্রতিক্রিয়াগুলো সমাধান হয়েছে কিনা তা নিশ্চিত করতে ফলো-আপ করুন।
61,Schedule a tele-health consultation in 2 weeks.
62,২ সপ্তাহ পর একটি টেলি-স্বাস্থ্য পরামর্শ নির্ধারণ করুন।
63,Return for your child's developmental screening next month.
64,আগামী মাসে আপনার সন্তানের উন্নয়নমূলক স্ক্রিনিংয়ের জন্য ফিরে আসুন।
65,Follow up post-operation in 10 days.
66,অপারেশনের ১০ দিন পর ফলো-আপ করুন।
67,Let's check your thyroid levels again in 6 weeks.
68,আসুন ৬ সপ্তাহ পর আপনার থাইরয়েডের মাত্রা আবার পরীক্ষা করি।
69,Come back for an allergy test review.
70,অ্যালার্জি পরীক্ষার পর্যালোচনার জন্য ফিরে আসুন।
71,Follow up is crucial to monitor your chronic condition.
72,আপনার দীর্ঘস্থায়ী অবস্থা নিরীক্ষণের জন্য ফলো-আপ অত্যন্ত গুরুত্বপূর্ণ।
73,Return if you are not feeling better in 48 hours.
74,৪৮ ঘণ্টার মধ্যে যদি আপনি ভালো বোধ না করেন তবে ফিরে আসুন।
75,We will contact you to schedule further testing.
76,পরবর্তী পরীক্ষার সময়সূচী নির্ধারণ করতে আমরা আপনার সাথে যোগাযোগ করব।
77,Follow up in 2 months to check on your asthma control.
78,আপনার হাঁপানি নিয়ন্ত্রণ পরীক্ষা করার জন্য ২ মাস পর ফলো-আপ করুন।
79,Please bring your blood pressure log to your next appointment.
80,আপনার পরবর্তী অ্যাপয়েন্টমেন্টে আপনার রক্তচাপের লগটি নিয়ে আসুন।
81,Return for a follow-up electrocardiogram (ECG).
82,একটি ফলো-আপ ইলেকট্রোকার্ডিওগ্রাম (ECG) এর জন্য ফিরে আসুন।
83,Let's review your diet and exercise plan next month.
84,আসুন আগামী মাসে আপনার খাদ্য এবং ব্যায়াম পরিকল্পনা পর্যালোচনা করি।
85,Come back if you develop a cough or shortness of breath.
86,যদি আপনার কাশি বা শ্বাসকষ্ট হয় তবে ফিরে আসুন।
87,Follow up to discuss the results of your biopsy.
88,আপনার বায়োপসির ফলাফল নিয়ে আলোচনা করতে ফলো-আপ করুন।
89,Schedule your annual skin check in one year.
90,এক বছরের মধ্যে আপনার বার্ষিক ত্বক পরীক্ষা নির্ধারণ করুন।
91,Return if the pain does not subside with the prescribed medication.
92,নির্ধারিত ঔষধে যদি ব্যথা না কমে তবে ফিরে আসুন।
93,We need to check your kidney function again in 3 months.
94,আমাদের ৩ মাস পর আপনার কিডনির কার্যকারিতা আবার পরীক্ষা করতে হবে।
95,Follow up with the nutritionist to create a meal plan.
96,একটি খাবার পরিকল্পনা তৈরি করতে পুষ্টিবিদের সাথে ফলো-আপ করুন।
97,Return for a cast removal and check-up in 4 weeks.
98,৪ সপ্তাহ পর কাস্ট অপসারণ এবং চেক-আপের জন্য ফিরে আসুন।
99,Please get the blood tests done before your next visit.
100,আপনার পরবর্তী পরিদর্শনের আগে দয়া করে রক্ত পরীক্ষাগুলো করিয়ে নিন।
101,Follow up to see if the new treatment is effective.
102,নতুন চিকিৎসাটি কার্যকর কিনা তা দেখতে ফলো-আপ করুন।
103,Return if you notice any bleeding or unusual discharge.
104,আপনি যদি কোনো রক্তপাত বা অস্বাভাবিক স্রাব লক্ষ্য করেন তবে ফিরে আসুন।
105,Let's have a follow-up call next Tuesday.
106,আসুন আগামী মঙ্গলবার একটি ফলো-আপ কল করি।
107,Schedule a colonoscopy as discussed.
108,আলোচনা অনুযায়ী একটি কোলোনোস্কোপি নির্ধারণ করুন।
109,Come back for a post-partum check-up in 6 weeks.
110,৬ সপ্তাহ পর প্রসবোত্তর চেক-আপের জন্য ফিরে আসুন।
111,Follow up on the referral to the cardiologist.
112,কার্ডিওলজিস্টের কাছে রেফারেলের বিষয়ে ফলো-আপ করুন।
113,Return if your dizziness persists.
114,যদি আপনার মাথা ঘোরা অব্যাহত থাকে তবে ফিরে আসুন।
115,We will review your medication list at the next appointment.
116,আমরা পরবর্তী অ্যাপয়েন্টমেন্টে আপনার ঔষধের তালিকা পর্যালোচনা করব।
117,Follow up to assess your response to the vaccine.
118,ভ্যাকসিনের প্রতি আপনার প্রতিক্রিয়া মূল্যায়ন করতে ফলো-আপ করুন।
119,Come back for a well-child visit in 3 months.
120,৩ মাস পর একটি সুস্থ-শিশু পরিদর্শনের জন্য ফিরে আসুন।
121,Let's check your iron levels again after the supplement course.
122,সম্পূরক কোর্স শেষ করার পর আসুন আপনার আয়রনের মাত্রা আবার পরীক্ষা করি।
123,"Return if you have any signs of infection, such as redness or pus."
124,"যদি আপনার সংক্রমণের কোনো লক্ষণ দেখা দেয়, যেমন লালভাব বা পুঁজ, তবে ফিরে আসুন।"
125,Follow up to manage your long-term health goals.
126,আপনার দীর্ঘমেয়াদী স্বাস্থ্য লক্ষ্যগুলো পরিচালনা করতে ফলো-আপ করুন।
127,Schedule a mammogram before your next annual visit.
128,আপনার পরবর্তী বার্ষিক পরিদর্শনের আগে একটি ম্যামোগ্রাম নির্ধারণ করুন।
129,Come back to review your sleep study results.
130,আপনার ঘুম অধ্যয়নের ফলাফল পর্যালোচনা করতে ফিরে আসুন।
131,Follow up if you experience any changes in your vision.
132,আপনার দৃষ্টিতে কোনো পরিবর্তন অনুভব করলে ফলো-আপ করুন।
133,Return for a hearing test as recommended.
134,সুপারিশ অনুযায়ী একটি শ্রবণ পরীক্ষার জন্য ফিরে আসুন।
135,We will discuss your bone density scan at the next visit.
136,আমরা পরবর্তী পরিদর্শনে আপনার হাড়ের ঘনত্ব স্ক্যান নিয়ে আলোচনা করব।
137,Follow up in one week via patient portal message.
138,এক সপ্তাহ পর রোগী পোর্টাল বার্তার মাধ্যমে ফলো-আপ করুন।
139,Return if your mood does not improve.
140,আপনার মেজাজের উন্নতি না হলে ফিরে আসুন।
141,Let's schedule a family meeting to discuss the care plan.
142,যত্ন পরিকল্পনা নিয়ে আলোচনা করার জন্য আসুন একটি পারিবারিক সভা নির্ধারণ করি।
143,Follow up is required before we can refill your prescription.
144,আপনার প্রেসক্রিপশন রিফিল করার আগে ফলো-আপ প্রয়োজন।
145,Come back for a final check before you are cleared to return to work/sports.
146,আপনি কাজে/খেলাধুলায় ফেরার জন্য ছাড়পত্র পাওয়ার আগে একটি চূড়ান্ত পরীক্ষার জন্য ফিরে আসুন।
147,"We need to monitor this closely, please return in 2 days."
148,"আমাদের এটি নিবিড়ভাবে পর্যবেক্ষণ করতে হবে, দয়া করে ২ দিন পর ফিরে আসুন।"
149,Follow up with your primary care physician after this emergency visit.
150,এই জরুরি পরিদর্শনের পর আপনার প্রাথমিক যত্ন চিকিৎসকের সাথে ফলো-আপ করুন।
151,Return if the swelling increases.
152,ফোলা বাড়লে ফিরে আসুন।
153,Let's touch base in a month to see how you are coping.
154,আপনি কীভাবে মানিয়ে নিচ্ছেন তা দেখতে আসুন এক মাস পর যোগাযোগ করি।
155,Follow up for pre-operative clearance.
156,অপারেশনের পূর্বানুমোদনের জন্য ফলো-আপ করুন।
157,Come back if you miss more than two doses of your medication.
158,আপনি যদি আপনার ঔষধের দুইটির বেশি ডোজ মিস করেন তবে ফিরে আসুন।
159,Let's review your headache diary at your next appointment.
160,আসুন আপনার পরবর্তী অ্যাপয়েন্টমেন্টে আপনার মাথাব্যথার ডায়েরি পর্যালোচনা করি।
161,Follow up to discuss alternative treatment options.
162,বিকল্প চিকিৎসার বিকল্পগুলো নিয়ে আলোচনা করতে ফলো-আপ করুন।
163,Return to the clinic for a blood draw next week.
164,আগামী সপ্তাহে রক্ত সংগ্রহের জন্য ক্লিনিকে ফিরে আসুন।
165,We need to confirm the diagnosis with a follow-up test.
166,আমাদের একটি ফলো-আপ পরীক্ষার মাধ্যমে রোগ নির্ণয় নিশ্চিত করতে হবে।
167,Follow up if you have any trouble with the medical device.
168,আপনার যদি চিকিৎসা ডিভাইসে কোনো সমস্যা হয় তবে ফলো-আপ করুন।
169,Come back if the home remedies do not provide relief.
170,যদি ঘরোয়া প্রতিকারে উপশম না হয় তবে ফিরে আসুন।
171,Let's check in after your first week on the new diet.
